dataset,model_type,output,multi_output,features,feature_selector,num_features,cv_r2,test_r2,absolute_relative_error,params
ALL Q PROSODIC,DT,Overall,False,pitchUvsVRatio_Q2; intensityMean_Q2; intensityQuant_Q2; avgBand3_Q2; intensityQuant_Q3,MI Overall,5,0.020685753350152637,0.34485155912825205,0.10238166258492377,"{'model__max_depth': 3, 'model__min_samples_split': 2}"
ALL Q PROSODIC,DT,Excited,False,pitchUvsVRatio_Q3; intensityQuant_Q4; intensityMean_Q4; max_pitch_Q4; pitch_abs_Q3; pitch_abs_Q1; avgBand3_Q2; avgBand3_Q3; pitchUvsVRatio_Q5; energy_Q2; avgVal1_Q3; pitchUvsVRatio_Q2; intensityQuant_Q5; avgVal1_Q5; PercentBreaks_Q3; diffIntMaxMin_Q2; intensityQuant_Q1; intensityMean_Q2; intensityQuant_Q3; intensityQuant_Q2,Random Forest,20,-0.02845094873579477,0.5089125217754418,0.10634083598846429,"{'model__max_depth': 3, 'model__min_samples_split': 2}"
ALL Q PROSODIC,DT,"['Overall', 'Excited']",True,avgVal1_Q5; intensityMean_Q3; diffPitchMaxMin_Q4; diffIntMaxMin_Q1; intensityMean_Q4; intensitySD_Q4; pitchUvsVRatio_Q3; avgVal1_Q3; PercentBreaks_Q3; intensityQuant_Q1; shimmer_Q1; intensityMean_Q2; pitchUvsVRatio_Q2; avgBand3_Q2; avgBand2_Q2; avgBand3_Q1; Participant; intensityMax_Q2; diffIntMaxMin_Q3; intensityMean_Q5; intensitySD_Q2; energy_Q3; pitch_abs_Q2; energy_Q2; intensityQuant_Q5; PercentBreaks_Q5; intensityQuant_Q3; intensityQuant_Q4; intensityMean_Q1; PercentBreaks_Q1; intensitySD_Q5; pitchUvsVRatio_Q1; jitter_Q4; intensityQuant_Q2; pitchUvsVRatio_Q5; avgBand3_Q5; diffIntMaxMin_Q2,MI Union,37,0.09731515772224711,0.3143895722998939,0.10802028710709814,"{'model__estimator__max_depth': 3, 'model__estimator__min_samples_split': 5}"
ALL Q PROSODIC,MLP,Overall,False,intensityMean_Q1; intensityQuant_Q1; intensityQuant_Q2; intensityMean_Q3; intensityQuant_Q3,MI Excited,5,0.35372425962088705,0.4138568679860535,0.09380436552780276,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,)}"
ALL Q PROSODIC,MLP,Excited,False,avgVal1_Q5; intensityMean_Q3; diffPitchMaxMin_Q4; diffIntMaxMin_Q1; intensityMean_Q4; intensitySD_Q4; pitchUvsVRatio_Q3; avgVal1_Q3; PercentBreaks_Q3; intensityQuant_Q1; shimmer_Q1; intensityMean_Q2; pitchUvsVRatio_Q2; avgBand3_Q2; avgBand2_Q2; avgBand3_Q1; Participant; intensityMax_Q2; diffIntMaxMin_Q3; intensityMean_Q5; intensitySD_Q2; energy_Q3; pitch_abs_Q2; energy_Q2; intensityQuant_Q5; PercentBreaks_Q5; intensityQuant_Q3; intensityQuant_Q4; intensityMean_Q1; PercentBreaks_Q1; intensitySD_Q5; pitchUvsVRatio_Q1; jitter_Q4; intensityQuant_Q2; pitchUvsVRatio_Q5; avgBand3_Q5; diffIntMaxMin_Q2,MI Union,37,-0.8427054392605278,0.4098880568702108,0.12161239882892778,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50)}"
ALL Q PROSODIC,MLP,"['Overall', 'Excited']",True,intensityMean_Q1; intensityQuant_Q1; intensityMax_Q2; intensityQuant_Q2; energy_Q3; intensityMean_Q3; intensityQuant_Q3; diffIntMaxMin_Q3; intensityMean_Q4; PercentBreaks_Q5,MI Excited,10,0.253567401721307,0.35129729279476396,0.111743910338308,"{'mlp__estimator__activation': 'tanh', 'mlp__estimator__alpha': 0.01, 'mlp__estimator__hidden_layer_sizes': (100,)}"
