dataset,model_type,output,multi_output,features,feature_selector,num_features,cv_r2,test_r2,absolute_relative_error,params
AVERAGED PROSODIC,DT,Overall,False,avg_intensityMax; avg_intensityMean; avg_intensityQuant; avg_diffIntMaxMin; avg_PercentBreaks,MI Excited,5,-0.0026729268321119327,0.45982956344774206,0.07931690815045024,"{'model__max_depth': 3, 'model__min_samples_split': 10}"
AVERAGED PROSODIC,DT,Excited,False,avg_pitch_abs; avg_pitchUvsVRatio; avg_intensityMax; avg_numVoiceBreaks; avg_iInterval,MI Overall,5,0.31174685881457725,0.5243435500248581,0.11144495672926773,"{'model__max_depth': 5, 'model__min_samples_split': 2}"
AVERAGED PROSODIC,DT,"['Overall', 'Excited']",True,avg_intensityMax; avg_intensityMean; avg_intensityQuant; avg_diffIntMaxMin; avg_PercentBreaks,MI Excited,5,0.11171962349324183,0.3513973359832451,0.10927771559203046,"{'model__estimator__max_depth': 3, 'model__estimator__min_samples_split': 10}"
AVERAGED PROSODIC,MLP,Overall,False,avg_intensityQuant; avg_intensityMean; avg_pitchUvsVRatio; avg_intensityMax; avg_pitch_abs,MI Aggregate,5,0.05385787741041019,0.483114980843798,0.07919824490979625,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,)}"
AVERAGED PROSODIC,MLP,Excited,False,avg_intensityQuant; avg_intensityMean; avg_pitchUvsVRatio; avg_intensityMax; avg_pitch_abs; avg_diffIntMaxMin; avg_avgBand2; avg_PercentBreaks; Participant; avg_avgBand3,MI Aggregate,10,0.42923058872313574,0.6257953173677739,0.10834855590297035,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,)}"
AVERAGED PROSODIC,MLP,"['Overall', 'Excited']",True,avg_intensityQuant; avg_intensityMean; avg_pitchUvsVRatio; avg_intensityMax; avg_pitch_abs,MI Aggregate,5,0.24678513665306134,0.5250083983200294,0.09907775405796933,"{'mlp__estimator__activation': 'tanh', 'mlp__estimator__alpha': 0.0001, 'mlp__estimator__hidden_layer_sizes': (100,)}"
