dataset,model_type,output,multi_output,features,feature_selector,num_features,cv_r2,test_r2,absolute_relative_error,params
TEXT FEATURES,DT,Overall,False,bert_217; bert_96; bert_310; bert_452; bert_426; bert_373; bert_677; bert_758; bert_440; bert_589,Random Forest,10,-0.13320259777776616,0.244031234613721,0.085470063333048,"{'model__max_depth': 3, 'model__min_samples_split': 10}"
TEXT FEATURES,DT,Excited,False,junior; much; RB; bert_49; bert_99; bert_147; bert_158; bert_181; bert_213; bert_216; bert_257; bert_309; bert_325; bert_337; bert_366; bert_426; bert_467; bert_485; bert_495; bert_505; bert_513; bert_608; bert_629; bert_742; bert_758,MI Excited,25,-0.08717534655242057,0.06367945645778172,0.14826935724351478,"{'model__max_depth': 3, 'model__min_samples_split': 10}"
TEXT FEATURES,DT,"['Overall', 'Excited']",True,try; bert_749; bert_49; bert_154; bert_629; last year; sent_pos; bert_493; sent_compound; bert_126; bert_540; bert_385; year; bert_679; bert_152; RB; bert_608; bert_513; bert_278; chemical; bert_217; bert_96; bert_310; bert_452; bert_426; bert_373; bert_677; bert_758; bert_440; bert_589,Random Forest,30,-0.2606490410594623,0.04436538434469678,0.12748993034001072,"{'model__estimator__max_depth': 3, 'model__estimator__min_samples_split': 2}"
TEXT FEATURES,MLP,Overall,False,RB; bert_608; bert_513; bert_278; chemical; bert_217; bert_96; bert_310; bert_452; bert_426; bert_373; bert_677; bert_758; bert_440; bert_589,Random Forest,15,-0.3250157552465923,0.09209716205954877,0.0972889055245526,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,)}"
TEXT FEATURES,MLP,Excited,False,bert_608; bert_742; bert_226; bert_337; bert_41,MI Aggregate,5,0.009340550543370529,0.20158459664947737,0.13322256021704365,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,)}"
TEXT FEATURES,MLP,"['Overall', 'Excited']",True,bert_608; bert_742; bert_226; bert_337; bert_41,MI Aggregate,5,-0.007233875989913941,0.07249343395233154,0.11589468367666564,"{'mlp__estimator__activation': 'tanh', 'mlp__estimator__alpha': 0.01, 'mlp__estimator__hidden_layer_sizes': (50,)}"
